Date,City,Temperature,WindSpeed(hpa),Description
2019-07-30,Tokyo,29.6,1000.47,Moderate rain
2019-07-31,Tokyo,25.1,1004.45,Light rain
2019-08-01,Tokyo,22.3,999.28,Heavy intensity rain
2019-08-02,Tokyo,23.3,1003.97,Light rain
