Date,City,WindSpeed(hpa),Description
2019-07-30,Tokyo,1000.47,Moderate rain
2019-07-31,Tokyo,1004.45,Light rain
2019-08-01,Tokyo,999.28,Heavy intensity rain
2019-08-02,Tokyo,1003.97,Light rain
